"male_normal_vs_deep"	"male_normal_vs_shallow"	"male_shallow_vs_deep"	"female_normal_vs_deep"	"female_normal_vs_shallow"	"female_shallow_vs_deep"
"ENSG00000015285.11_WAS"	0	0.370104273549426	0	0	0.472056001545732	0
"ENSG00000015413.9_DPEP1"	0	0	0	3.1931856286097	0	3.74349576015397
"ENSG00000015475.19_BID"	0	0	0	0	0	0
"ENSG00000015479.20_MATR3"	NA	NA	NA	0	0	0
"ENSG00000015520.15_NPC1L1"	0	1.66720435750441	0	0	1.2790041089854	0
"ENSG00000015532.10_XYLT2"	0.864177585314546	0	0.881742581798764	0	-0.221635778588013	0
"ENSG00000015568.13_RGPD5"	NA	0	NA	NA	0	NA
"ENSG00000015592.16_STMN4"	0	0	NA	0	0	0
"ENSG00000015676.18_NUDCD3"	0	-0.279965047091611	0	0	-0.217601379932765	0
"ENSG00000016082.15_ISL1"	0	0.958104926695584	0	0	0.73168969740254	0
"ENSG00000016391.11_CHDH"	0	0	0	0	0	0
"ENSG00000016402.13_IL20RA"	0	0	0	0	-0.325281577074623	0
"ENSG00000016490.16_CLCA1"	0	1.48318760799148	0	0	0	0
"ENSG00000016602.9_CLCA4"	NA	NA	NA	NA	NA	NA
"ENSG00000016864.18_GLT8D1"	0	0	0	-0.584700371012423	0	0
"ENSG00000017260.20_ATP2C1"	-0.579604551291437	0	-0.544491170324329	0	0	0
